,Nodes,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity (Method 1),Jaccard Index Similarity (Method 2),Longest Maximum Independent Set,Number of Maximum Cliques,Longest Maximum Clique
0,10.0,0.6534215608796582,0.47944814979452177,0.08975762031264375,0.17311990771722402,6.6,522.0,2.5
1,20.0,0.6651818331618463,0.4530336735924528,0.10380147455864304,0.20692091735499551,13.3,4522.0,2.6
2,30.0,0.7144071351069866,0.4946762212734902,0.10374725123851558,7.012973438105314,18.7,14964.0,2.7
3,40.0,0.7159194772063053,0.49550892498605037,0.10759789402514137,0.2691761363698723,24.9,38064.0,2.7
4,50.0,0.7386220771003885,0.5295363828120256,0.09596426243353673,0.25915481708319227,30.7,73990.0,2.7
