,,,,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Longest Maximal Independent Set,Longest Maximal Independent Set,Number of Maximal Cliques,Number of Maximal Cliques,Number of Maximal Cliques,Longest Maximal Clique,Longest Maximal Clique,Longest Maximal Clique
,,,,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Nodes To Edges Factor,Number of Nodes Per Graph,Number of Edges Per Graph,Number of Graphs,,,,,,,,,,,,,,,,,,
3.5,40,140,10,0.1332499017708934,0.13959175283902595,0.02875826527320077,0.5917740430669697,0.59202073445512,0.028729357273647872,0.1343453718307428,0.13357210838883848,0.02879264045318349,18.8,19.0,1.5491933384829668,30108.0,30420.0,2086.4898753648436,3.2,3.0,0.42163702135578385
4.0,40,160,10,0.12364355005129564,0.1230958423260961,0.01674646279062015,0.6007570325811754,0.5980617208545155,0.019237482504703522,0.1671557630997353,0.1667104133144523,0.017061491838680415,19.1,19.0,2.4698178070456938,29172.0,28860.0,2212.2929281629954,3.0,3.0,0.0
4.5,40,180,10,0.13127220846913396,0.1310892220250794,0.029794699571327854,0.6119941971485646,0.6044372109766023,0.023263532247053867,0.1775357055314865,0.17226539255292805,0.02811924861999074,18.3,18.0,1.4944341180973262,29484.0,29640.0,2696.9909158171076,3.2,3.0,0.4216370213557839
