,,,,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Longest Maximal Independent Set,Longest Maximal Independent Set,Number of Maximal Cliques,Number of Maximal Cliques,Number of Maximal Cliques,Longest Maximal Clique,Longest Maximal Clique,Longest Maximal Clique
,,,,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Nodes To Edges Factor,Number of Nodes Per Graph,Number of Edges Per Graph,Number of Graphs,,,,,,,,,,,,,,,,,,
1.0,40,40,10,0.4057587255554808,0.41126176573551054,0.044489710900539645,0.476995385490497,0.4707418596285666,0.03288891152623298,0.0222854497454056,0.0199485406226284,0.01162510165533609,28.8,28.5,1.2292725943057181,40092.0,39780.0,1652.585852535353,2.5,2.5,0.5270462766947299
1.5,40,60,10,0.30274597463151526,0.2893267884928219,0.06151165803911058,0.5021650400565383,0.5003520986336744,0.06679321082283222,0.05670181625065797,0.042762244872725355,0.04291573314928139,25.9,26.0,2.0248456731316584,37596.0,37440.0,2137.6996982738247,2.8,3.0,0.42163702135578385
2.0,40,80,10,0.20509379917432527,0.20099336034907886,0.02345090447741748,0.5416199638185941,0.5303784934089097,0.04667178000820758,0.1100869250400546,0.10106010407244828,0.025361592893831632,23.5,23.0,1.6499158227686108,35256.0,35880.0,2105.839500056925,2.9,3.0,0.5676462121975467
2.5,40,100,10,0.16850017043363238,0.17330480251076713,0.037071729462286804,0.587295243845579,0.5786188212661182,0.03838161330146385,0.1501169426943602,0.15220412845196737,0.040081383354594574,20.8,21.0,1.7511900715418263,33384.0,32760.0,1973.2612599450688,3.0,3.0,0.0
3.0,40,120,10,0.16098292686418392,0.1543900546123271,0.04268379518249959,0.5884723454766236,0.5888788902471016,0.03858262874084487,0.14123782376324132,0.1331537385729469,0.037026543455323406,21.0,21.0,1.3333333333333333,31200.0,31200.0,1801.3328398716324,3.0,3.0,0.0
