,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Longest Maximal Independent Set,Longest Maximal Independent Set,Number of Maximal Cliques,Number of Maximal Cliques,Number of Maximal Cliques,Longest Maximal Clique,Longest Maximal Clique,Longest Maximal Clique
,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Graph Number,,,,,,,,,,,,,,,,,,
0,0.22748126365979707,0.0,0.41533319033882826,0.3977979803608302,0.13197834853509516,0.4386871828788993,0.034769017377525274,0.0,0.10218489721372896,62.0,62.0,0.0,584100.0,584100.0,0.0,3.0,3.0,0.0
1,0.28725594305275937,0.0,0.44884504657277996,0.531772750816737,0.6659175014258698,0.4308463514775949,0.06598324473655916,0.0,0.13666941591116447,67.0,67.0,0.0,653400.0,653400.0,0.0,3.0,3.0,0.0
2,0.33553551115455815,0.0,0.46893051051898355,0.5434233551523752,0.7178032883092649,0.45199866917001286,0.07472244807066825,0.0,0.1626883062934043,62.0,62.0,0.0,603900.0,603900.0,0.0,2.0,2.0,0.0
3,0.1875552130062442,0.0,0.38616361237259283,0.4564655328595664,0.3970491589415102,0.4289290522864539,0.048458508541724434,0.0,0.11654927539763747,64.0,64.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
4,0.2668494237240384,0.0,0.4385384430751258,0.45665996217312843,0.33189318970571974,0.4438971247883823,0.030798675936550727,0.0,0.08912239281777379,54.0,54.0,0.0,584100.0,584100.0,0.0,2.0,2.0,0.0
5,0.2671044613120427,0.0,0.43824807770895813,0.5017682822014717,0.5466979895650349,0.43219400479472425,0.07186448905656637,0.0,0.1395336853304372,64.0,64.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
6,0.2462872004961554,0.0,0.42736340955947044,0.4870699131014267,0.45438158638683274,0.43935001573380855,0.06401130152598221,0.0,0.1438028347685479,61.0,61.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
7,0.2082524420191916,0.0,0.4015895134917836,0.5256626098584685,0.6111138002510155,0.4134571817400117,0.08113943038739521,0.007943220288279436,0.14478008030698566,61.0,61.0,0.0,633600.0,633600.0,0.0,3.0,3.0,0.0
8,0.2060582793983177,0.0,0.40103871899871935,0.4345137195136511,0.23980701633341756,0.4364377855084167,0.04781085623092849,0.0,0.12978747115187242,64.0,64.0,0.0,623700.0,623700.0,0.0,3.0,3.0,0.0
9,0.3061496469029734,0.0,0.4574677513504935,0.45544497138461754,0.27522926018952887,0.45614392825653954,0.03579547084589226,0.0,0.11586706343121156,63.0,63.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
10,0.2673905186453973,0.0,0.4384888578332267,0.5209005270743571,0.6838426530840886,0.44577093562153264,0.07879440649676679,0.0,0.17138081129327265,57.0,57.0,0.0,594000.0,594000.0,0.0,3.0,3.0,0.0
11,0.27691264445335406,0.0,0.4433961675881148,0.4600893330967594,0.3702799712905237,0.437430872778895,0.05151641736354828,0.0,0.12523033632833994,61.0,61.0,0.0,623700.0,623700.0,0.0,2.0,2.0,0.0
12,0.18711725615759314,0.0,0.38612520979948406,0.3920864436237974,0.15790367509531106,0.4244934714921425,0.03808486127196649,0.0,0.10271291514165219,58.0,58.0,0.0,603900.0,603900.0,0.0,3.0,3.0,0.0
13,0.2067111438172373,0.0,0.40106459876002515,0.4320946114217313,0.2507286521606131,0.4275259822817466,0.03882690065076849,0.0,0.10878087694136215,58.0,58.0,0.0,574200.0,574200.0,0.0,2.0,2.0,0.0
14,0.2680127591734095,0.0,0.43866187944274143,0.4231267990307064,0.23293383995359945,0.4378124463264319,0.021637609174484627,0.0,0.07739924101903396,65.0,65.0,0.0,613800.0,613800.0,0.0,3.0,3.0,0.0
15,0.22883310633137424,0.0,0.41564695644225497,0.42224533476889237,0.2078405653202377,0.4358353510174162,0.04095675183886458,0.0,0.11752402017389112,58.0,58.0,0.0,584100.0,584100.0,0.0,3.0,3.0,0.0
