,Edit-Distance Immediate Similarity Averages,Edit-Distance Full Similarity Averages,Jaccard Index Similarity (Method 1) Averages,Jaccard Index Similarity (Method 2) Averages,Longest Maximum Independent Set,Number of Maximum Cliques,Longest Maximum Clique
0,0.771123040116175,0.5079503326194019,0.13061979194907528,0.27065878826649514,19.0,15660.0,3.0
1,0.7105047319028932,0.42722685257218757,0.12815252602171853,0.36668906829511344,18.0,14790.0,3.0
2,0.6506410344822164,0.5203391566678921,0.06764395286670397,0.12271286077026299,19.0,16530.0,2.0
3,0.71376066055844,0.4575657727700771,0.14822581460072282,0.6532637153499459,17.0,13920.0,2.0
4,0.6777761346553215,0.5089084614177959,0.08190678710517146,0.16141086948847938,18.0,16530.0,3.0
5,0.7091139110702307,0.4989809567461145,0.1211935770240579,0.26940029714827096,17.0,13050.0,3.0
6,0.6766866819345723,0.3972876761968202,0.18323727133899287,0.7944688637543477,18.0,16530.0,3.0
7,0.7133510001471468,0.5274037575739094,0.08806077546263634,0.5784318077314304,21.0,14790.0,3.0
8,0.7056772750261572,0.5652607628457957,0.051526852808733606,0.150020215091004,19.0,16530.0,2.0
9,0.7099309021806597,0.4241789906153061,0.1600268549745016,0.4093396144833388,18.0,16530.0,3.0
