,,,,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Longest Maximal Independent Set,Longest Maximal Independent Set,Number of Maximal Cliques,Number of Maximal Cliques,Number of Maximal Cliques,Longest Maximal Clique,Longest Maximal Clique,Longest Maximal Clique
,,,,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Nodes To Edges Factor,Number of Nodes Per Graph,Number of Edges Per Graph,Number of Graphs,,,,,,,,,,,,,,,,,,
1.0,40,40,10,0.3733129426542898,0.3714796507833058,0.04206785526118909,0.46615234961597496,0.4699567369471679,0.05283216610229086,0.046176460405463665,0.049905250700849585,0.021719024685790806,28.6,29.0,1.5055453054181622,40716.0,40560.0,2377.2589257377917,2.4,2.0,0.5163977794943223
1.5,40,60,10,0.2987483214457872,0.28976309745334516,0.05777832334371305,0.4966955934939297,0.4853950629064593,0.03895720469323732,0.09214429993563,0.08729427101381906,0.03400693594585046,25.3,25.5,2.7908580918579307,37752.0,39000.0,2181.522404193915,2.7,3.0,0.48304589153964794
2.0,40,80,10,0.19908983011567466,0.2096399394950979,0.03244780523843659,0.5383158185122148,0.547496027865652,0.04095987680840257,0.16292219237215652,0.16310382545620944,0.02867432780628719,23.4,24.0,1.5055453054181622,34476.0,34320.0,2260.654772405552,2.9,3.0,0.31622776601683794
2.5,40,100,10,0.18090581095578362,0.17813291259922753,0.032026560971991906,0.5912522127921412,0.5952940760720888,0.039598375044057006,0.22694304583584052,0.21733684372190804,0.05568891672046418,21.8,21.5,2.1499353995462798,33228.0,34320.0,2444.553128896977,3.0,3.0,0.0
3.0,40,120,10,0.15347981801066557,0.1489774819979694,0.03239545245811568,0.593022930579145,0.6008679396281427,0.040298541960415574,0.2198460010030651,0.2050303002563283,0.06854209319486233,20.6,20.5,2.3664319132398464,31356.0,31200.0,1867.661639591069,3.0,3.0,0.0
