,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Number of Maximal Cliques,Longest Maximal Clique
0,0.0,0.0,0.0,62,603900,2
1,1.0,1.0,0.0,62,603900,2
2,0.0,0.0,0.0,62,603900,2
3,0.0,0.0,0.0,62,603900,2
4,0.0,0.4904172639594334,0.026412304544541867,62,603900,2
5,0.0,0.11888903368713521,0.02641230454454187,62,603900,2
6,0.0,0.8396203772012244,0.6821714057226984,62,603900,2
7,0.0,0.9595661453728279,0.6821714057226984,62,603900,2
8,0.0,0.6308768117926178,0.04462939999649266,62,603900,2
9,0.0,0.12617536235852356,0.04462939999649266,62,603900,2
10,0.0,0.0,0.0,62,603900,2
11,0.0,0.0,0.0,62,603900,2
12,0.0,0.0,0.0,62,603900,2
13,0.0,0.0,0.0,62,603900,2
14,0.0,0.8029277407191573,0.03679494178903441,62,603900,2
15,0.0,0.13109024338271957,0.036794941789034405,62,603900,2
16,0.0,0.0,0.0,62,603900,2
17,0.0,0.0,0.0,62,603900,2
18,0.0,0.0,0.0,62,603900,2
19,1.0,1.0,0.0,62,603900,2
20,0.0,0.0,0.0,62,603900,2
21,0.0,0.0,0.0,62,603900,2
22,0.0,0.7875460215358796,0.03739504621370746,62,603900,2
23,0.0,0.14000818160637862,0.03739504621370746,62,603900,2
24,0.0,0.4806624861077635,0.01605043365187283,62,603900,2
25,0.0,0.1130970555547679,0.01605043365187283,62,603900,2
26,0.0,0.0,0.0,62,603900,2
27,0.0,0.0,0.0,62,603900,2
28,0.0,0.5092511665982273,0.022530991581227393,62,603900,2
29,0.0,0.11316692591071709,0.02253099158122739,62,603900,2
30,0.0,0.12123301346647608,0.01333328346478854,62,603900,2
31,0.0,0.969864107731809,0.01333328346478854,62,603900,2
32,0.0,0.0,0.0,62,603900,2
33,0.0,0.0,0.0,62,603900,2
34,0.0,0.715888370262275,0.02152934385713966,62,603900,2
35,0.0,0.11931472837704582,0.02152934385713966,62,603900,2
36,0.0,0.4904172639594334,0.027266526095086348,62,603900,2
37,0.0,0.12260431598985821,0.027266526095086355,62,603900,2
38,0.0,0.0,0.0,62,603900,2
39,1.0,1.0,0.0,62,603900,2
40,0.0,0.4904172639594334,0.022835314613976854,62,603900,2
41,0.0,0.10324573978093321,0.022835314613976854,62,603900,2
42,0.0,0.4904172639594334,0.035245948832723,62,603900,2
43,0.0,0.1569335244670187,0.03524594883272301,62,603900,2
44,0.0,0.0,0.0,62,603900,2
45,0.0,0.0,0.0,62,603900,2
46,0.0,0.0,0.0,62,603900,2
47,0.0,0.0,0.0,62,603900,2
48,0.0,0.33810603690295005,0.2824319996631839,62,603900,2
49,0.0,0.9016160984078666,0.28243199966318405,62,603900,2
50,0.0,0.0,0.0,62,603900,2
51,0.0,0.0,0.0,62,603900,2
52,0.0,0.38458059358082464,0.07182078372240959,62,603900,2
53,0.0,0.30766447486465975,0.07182078372240958,62,603900,2
54,0.0,0.0,0.0,62,603900,2
55,1.0,1.0,0.0,62,603900,2
56,0.0,0.4904172639594334,0.02915219520412186,62,603900,2
57,0.0,0.13077793705584873,0.029152195204121868,62,603900,2
58,0.0,0.715888370262275,0.021042287972399515,62,603900,2
59,0.0,0.11687973392037143,0.021042287972399515,62,603900,2
60,0.0,0.715888370262275,0.019704940147803728,62,603900,2
61,0.0,0.11013667234804225,0.019704940147803728,62,603900,2
62,0.0,0.0,0.0,62,603900,2
63,1.0,1.0,0.0,62,603900,2
