,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Number of Maximal Cliques,Longest Maximal Clique
148,1.0,1.0,0.0,62,574200,3
149,0.0,0.0,0.0,62,574200,3
150,1.0,1.0,0.0,62,574200,3
151,0.0,0.0,0.0,62,574200,3
152,1.0,1.0,0.0,62,574200,3
153,0.0,0.0,0.0,62,574200,3
154,1.0,1.0,0.0,62,574200,3
155,0.0,0.0,0.0,62,574200,3
156,1.0,1.0,0.0,62,574200,3
157,1.0,1.0,0.0,62,574200,3
158,1.0,1.0,0.0,62,574200,3
159,1.0,1.0,0.0,62,574200,3
160,1.0,1.0,0.0,62,574200,3
161,0.0,0.0,0.0,62,574200,3
162,1.0,1.0,0.0,62,574200,3
163,1.0,1.0,0.0,62,574200,3
164,1.0,1.0,0.0,62,574200,3
165,1.0,1.0,0.0,62,574200,3
166,1.0,1.0,0.0,62,574200,3
167,1.0,1.0,0.0,62,574200,3
168,1.0,1.0,0.0,62,574200,3
169,0.0,0.0,0.0,62,574200,3
170,1.0,1.0,0.0,62,574200,3
171,0.0,0.0,0.0,62,574200,3
172,1.0,1.0,0.0,62,574200,3
173,1.0,1.0,0.0,62,574200,3
174,1.0,1.0,0.0,62,574200,3
175,1.0,1.0,0.0,62,574200,3
176,1.0,1.0,0.0,62,574200,3
177,0.0,0.0,0.0,62,574200,3
178,1.0,1.0,0.0,62,574200,3
179,1.0,1.0,0.0,62,574200,3
180,1.0,1.0,0.0,62,574200,3
181,0.0,0.0,0.0,62,574200,3
182,1.0,1.0,0.0,62,574200,3
183,1.0,1.0,0.0,62,574200,3
184,1.0,1.0,0.0,62,574200,3
185,0.0,0.0,0.0,62,574200,3
186,1.0,1.0,0.0,62,574200,3
187,0.0,0.0,0.0,62,574200,3
188,1.0,1.0,0.0,62,574200,3
189,0.0,0.0,0.0,62,574200,3
190,1.0,1.0,0.0,62,574200,3
191,0.0,0.0,0.0,62,574200,3
192,1.0,1.0,0.0,62,574200,3
193,1.0,1.0,0.0,62,574200,3
194,1.0,1.0,0.0,62,574200,3
195,1.0,1.0,0.0,62,574200,3
196,1.0,1.0,0.0,62,574200,3
197,0.0,0.0,0.0,62,574200,3
198,0.47462893131647843,0.9631453414289464,0.6219920145016301,62,574200,3
199,0.1582096437721594,0.8475679004574729,0.6219920145016301,62,574200,3
200,0.0,0.9523134766935464,0.5141163377432685,62,574200,3
201,0.0,0.7759591291577045,0.5141163377432687,62,574200,3
202,0.0,0.977543325152389,0.4459084161400976,62,574200,3
203,0.0,0.768069755476877,0.4459084161400974,62,574200,3
204,0.0,0.03376792257682548,0.009480814959946295,62,574200,3
205,0.0,0.7428942966901618,0.009480814959946295,62,574200,3
206,0.0,0.0,0.0,62,574200,3
207,1.0,1.0,0.0,62,574200,3
208,0.0,0.9034249865034122,0.3294985720095904,62,574200,3
209,0.0,0.5845691089139726,0.32949857200959026,62,574200,3
210,0.0,0.9607414056564274,0.4506946380085869,62,574200,3
211,0.0,0.6818164814335936,0.4506946380085867,62,574200,3
212,0.0,0.9523134766935464,0.5237551279563303,62,574200,3
213,0.0,0.8058037110483854,0.5237551279563304,62,574200,3
214,0.0,0.977543325152389,0.6213955221430091,62,574200,3
215,0.0,0.7415845914949157,0.6213955221430091,62,574200,3
216,0.0,0.9772673397748883,0.4559772654032426,62,574200,3
217,0.0,0.6515115598499255,0.4559772654032426,62,574200,3
218,0.0,0.9835980528795554,0.7623651314753069,62,574200,3
219,0.0,0.9408329201456617,0.7623651314753069,62,574200,3
220,0.0,0.5340289981097159,0.39639219042802415,62,574200,3
221,0.0,0.9037413814164421,0.3963921904280243,62,574200,3
222,0.0,0.7877545023762845,0.5480482208388426,62,574200,3
223,0.0,0.9628110584599033,0.5480482208388427,62,574200,3
224,0.0,0.9034249865034122,0.38644800444938093,62,574200,3
225,0.0,0.6211046782210958,0.3864480044493809,62,574200,3
226,0.0,0.0,0.0,62,574200,3
227,1.0,1.0,0.0,62,574200,3
228,0.7055005595021572,0.9855813596537495,0.61790043478187,62,574200,3
229,0.23516685316738573,0.7227596637460829,0.61790043478187,62,574200,3
230,0.0,0.0,0.0,62,574200,3
231,0.0,0.0,0.0,62,574200,3
232,0.0,0.0,0.0,62,574200,3
233,1.0,1.0,0.0,62,574200,3
234,0.0,0.977543325152389,0.29750867484277194,62,574200,3
235,0.0,0.46752072072505557,0.29750867484277194,62,574200,3
236,0.0,0.0,0.0,62,574200,3
237,1.0,1.0,0.0,62,574200,3
238,0.0,0.962174862560064,0.5336402049340162,62,574200,3
239,0.0,0.8141479606277464,0.5336402049340162,62,574200,3
240,0.0,0.8611258873158438,0.7310155569915191,62,574200,3
241,0.0,0.9970931326815033,0.7310155569915191,62,574200,3
242,0.0,0.6907591322893641,0.3781119168394183,62,574200,3
243,0.0,0.7598350455183005,0.37811191683941847,62,574200,3
244,0.0,0.926798350060487,0.2784996956653637,62,574200,3
245,0.0,0.5663767694814088,0.278499695665364,62,574200,3
246,0.0,0.9455162439932415,0.2759288588239999,62,574200,3
247,0.0,0.5621988477797653,0.27592885882400003,62,574200,3
248,0.0,0.4751661247670592,0.39575217974471427,62,574200,3
249,0.0,0.9503322495341184,0.3957521797447144,62,574200,3
250,0.0,0.0,0.0,62,574200,3
251,1.0,1.0,0.0,62,574200,3
252,0.0,0.03432196117628983,0.007217038823873365,62,574200,3
253,0.0,0.377541572939188,0.007217038823873365,62,574200,3
254,0.0,0.39850579136666786,0.3210294025347436,62,574200,3
255,0.0,0.8767127410066691,0.3210294025347435,62,574200,3
256,0.0,0.0,0.0,62,574200,3
257,0.0,0.0,0.0,62,574200,3
258,0.0,0.0,0.0,62,574200,3
259,0.0,0.0,0.0,62,574200,3
260,0.0,0.9034249865034122,0.34686394049158353,62,574200,3
261,0.0,0.6411403130024216,0.3468639404915835,62,574200,3
262,0.0,0.8958579111389209,0.271785010374233,62,574200,3
263,0.0,0.532672271488007,0.27178501037423314,62,574200,3
264,0.0,0.33905969469122577,0.19920719666789438,62,574200,3
265,0.0,0.4972875522137976,0.19920719666789444,62,574200,3
266,0.0,0.9427603067399895,0.2862474298765539,62,574200,3
267,0.0,0.5925921928079934,0.28624742987655405,62,574200,3
268,0.0,0.3022761557281586,0.3470327636510563,62,574200,3
269,0.0,0.950010775145641,0.3470327636510563,62,574200,3
270,0.0,0.8958579111389209,0.2768187935062719,62,574200,3
271,0.0,0.547468723473785,0.27681879350627187,62,574200,3
272,0.0,0.0,0.0,62,574200,3
273,1.0,1.0,0.0,62,574200,3
