,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Number of Maximal Cliques,Longest Maximal Clique
0,1.0,1.0,0.0,61,613800,3
1,0.0,0.0,0.0,61,613800,3
2,1.0,1.0,0.0,61,613800,3
3,0.0,0.0,0.0,61,613800,3
4,1.0,1.0,0.0,61,613800,3
5,1.0,1.0,0.0,61,613800,3
6,1.0,1.0,0.0,61,613800,3
7,0.0,0.0,0.0,61,613800,3
8,1.0,1.0,0.0,61,613800,3
9,1.0,1.0,0.0,61,613800,3
10,1.0,1.0,0.0,61,613800,3
11,1.0,1.0,0.0,61,613800,3
12,1.0,1.0,0.0,61,613800,3
13,0.0,0.0,0.0,61,613800,3
14,1.0,1.0,0.0,61,613800,3
15,0.0,0.0,0.0,61,613800,3
16,1.0,1.0,0.0,61,613800,3
17,0.0,0.0,0.0,61,613800,3
18,1.0,1.0,0.0,61,613800,3
19,0.0,0.0,0.0,61,613800,3
20,1.0,1.0,0.0,61,613800,3
21,0.0,0.0,0.0,61,613800,3
22,1.0,1.0,0.0,61,613800,3
23,1.0,1.0,0.0,61,613800,3
24,1.0,1.0,0.0,61,613800,3
25,1.0,1.0,0.0,61,613800,3
26,1.0,1.0,0.0,61,613800,3
27,0.0,0.0,0.0,61,613800,3
28,1.0,1.0,0.0,61,613800,3
29,0.0,0.0,0.0,61,613800,3
30,1.0,1.0,0.0,61,613800,3
31,0.0,0.0,0.0,61,613800,3
32,1.0,1.0,0.0,61,613800,3
33,0.0,0.0,0.0,61,613800,3
34,1.0,1.0,0.0,61,613800,3
35,0.0,0.0,0.0,61,613800,3
36,1.0,1.0,0.0,61,613800,3
37,1.0,1.0,0.0,61,613800,3
38,1.0,1.0,0.0,61,613800,3
39,0.0,0.0,0.0,61,613800,3
40,1.0,1.0,0.0,61,613800,3
41,0.0,0.0,0.0,61,613800,3
42,1.0,1.0,0.0,61,613800,3
43,1.0,1.0,0.0,61,613800,3
44,1.0,1.0,0.0,61,613800,3
45,0.0,0.0,0.0,61,613800,3
46,1.0,1.0,0.0,61,613800,3
47,0.0,0.0,0.0,61,613800,3
48,1.0,1.0,0.0,61,613800,3
49,0.0,0.0,0.0,61,613800,3
50,1.0,1.0,0.0,61,613800,3
51,0.0,0.0,0.0,61,613800,3
52,1.0,1.0,0.0,61,613800,3
53,0.0,0.0,0.0,61,613800,3
54,1.0,1.0,0.0,61,613800,3
55,0.0,0.0,0.0,61,613800,3
56,1.0,1.0,0.0,61,613800,3
57,0.0,0.0,0.0,61,613800,3
58,1.0,1.0,0.0,61,613800,3
59,1.0,1.0,0.0,61,613800,3
60,1.0,1.0,0.0,61,613800,3
61,1.0,1.0,0.0,61,613800,3
62,1.0,1.0,0.0,61,613800,3
63,0.0,0.0,0.0,61,613800,3
64,1.0,1.0,0.0,61,613800,3
65,0.0,0.0,0.0,61,613800,3
66,1.0,1.0,0.0,61,613800,3
67,0.0,0.0,0.0,61,613800,3
68,1.0,1.0,0.0,61,613800,3
69,1.0,1.0,0.0,61,613800,3
70,1.0,1.0,0.0,61,613800,3
71,0.0,0.0,0.0,61,613800,3
72,1.0,1.0,0.0,61,613800,3
73,0.0,0.0,0.0,61,613800,3
74,1.0,1.0,0.0,61,613800,3
75,0.0,0.0,0.0,61,613800,3
76,1.0,1.0,0.0,61,613800,3
77,0.0,0.0,0.0,61,613800,3
78,1.0,1.0,0.0,61,613800,3
79,0.0,0.0,0.0,61,613800,3
80,1.0,1.0,0.0,61,613800,3
81,0.0,0.0,0.0,61,613800,3
82,1.0,1.0,0.0,61,613800,3
83,0.0,0.0,0.0,61,613800,3
84,1.0,1.0,0.0,61,613800,3
85,0.0,0.0,0.0,61,613800,3
86,1.0,1.0,0.0,61,613800,3
87,1.0,1.0,0.0,61,613800,3
88,1.0,1.0,0.0,61,613800,3
89,0.0,0.0,0.0,61,613800,3
90,1.0,1.0,0.0,61,613800,3
91,0.0,0.0,0.0,61,613800,3
92,1.0,1.0,0.0,61,613800,3
93,0.0,0.0,0.0,61,613800,3
94,1.0,1.0,0.0,61,613800,3
95,1.0,1.0,0.0,61,613800,3
96,1.0,1.0,0.0,61,613800,3
97,0.0,0.0,0.0,61,613800,3
98,1.0,1.0,0.0,61,613800,3
99,0.0,0.0,0.0,61,613800,3
100,1.0,1.0,0.0,61,613800,3
101,0.0,0.0,0.0,61,613800,3
102,1.0,1.0,0.0,61,613800,3
103,0.0,0.0,0.0,61,613800,3
104,1.0,1.0,0.0,61,613800,3
105,0.0,0.0,0.0,61,613800,3
106,1.0,1.0,0.0,61,613800,3
107,1.0,1.0,0.0,61,613800,3
