,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximum Independent Set,Longest Maximum Independent Set,Longest Maximum Independent Set,Number of Maximum Cliques,Number of Maximum Cliques,Number of Maximum Cliques,Longest Maximum Clique,Longest Maximum Clique,Longest Maximum Clique
,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Graph Number,,,,,,,,,,,,,,,,,,
0,0.7094383333432375,1.0,0.444255002862562,0.4755828060510326,0.4351051099642478,0.4452437301468599,0.09180983605786219,0.0,0.17192889662884828,23.0,23.0,0.0,39000.0,39000.0,0.0,3.0,3.0,0.0
1,0.7082057739648564,1.0,0.44640513630045137,0.5146462128944956,0.4832058901822366,0.41475503182439577,0.06499873274057487,0.0,0.12862114516626563,24.0,24.0,0.0,39000.0,39000.0,0.0,2.0,2.0,0.0
2,0.7364803746414218,1.0,0.4335999339915878,0.5519967277800647,0.7157114845292368,0.4264953646015066,0.1437829114595905,0.0040343416865332975,0.24437610258963585,25.0,25.0,0.0,35880.0,35880.0,0.0,3.0,3.0,0.0
3,0.7591275685113772,1.0,0.4191826436414978,0.564646581913575,0.6404877703448543,0.4011136647715915,0.17235804450516437,0.010759278983001611,0.2424330985143619,22.0,22.0,0.0,39000.0,39000.0,0.0,3.0,3.0,0.0
4,0.7332091488463715,1.0,0.4343563449107237,0.46388505771852157,0.4056092096293298,0.43439152306528944,0.09964707532604507,0.0,0.17272774426029544,23.0,23.0,0.0,39000.0,39000.0,0.0,3.0,3.0,0.0
5,0.8067474747768388,1.0,0.3848141978242463,0.5531254782182138,0.6885188877017481,0.3936179955870486,0.18696028924712935,0.0607441757408192,0.24037062467782244,27.0,27.0,0.0,34320.0,34320.0,0.0,3.0,3.0,0.0
6,0.7067817454233104,1.0,0.4462057844786137,0.39603843757784646,0.1424238534155428,0.43836961130687574,0.062052546883043985,0.0,0.1372174837339651,24.0,24.0,0.0,35880.0,35880.0,0.0,3.0,3.0,0.0
7,0.7115533737623839,1.0,0.44600579065902185,0.4516435575473411,0.34570937496249493,0.4412568859545961,0.087092848653206,0.0,0.17280026891414355,27.0,27.0,0.0,37440.0,37440.0,0.0,3.0,3.0,0.0
8,0.7102087595074985,1.0,0.445417289851307,0.5468211708379449,0.7333479587186142,0.42897173043777304,0.10724386196301966,0.0,0.18152593339009399,23.0,23.0,0.0,37440.0,37440.0,0.0,3.0,3.0,0.0
9,0.73513036967505,1.0,0.4318811851998975,0.5717522785887992,0.7126213901175522,0.4071793115087071,0.1515629894303886,0.026422038055505637,0.2043977841146746,24.0,24.0,0.0,37440.0,37440.0,0.0,2.0,2.0,0.0
10,0.7556875690466587,1.0,0.4206030772874019,0.42784268343205917,0.23684441133955836,0.43492959045367335,0.11662807797588638,0.0,0.1964506375417931,25.0,25.0,0.0,34320.0,34320.0,0.0,3.0,3.0,0.0
11,0.7627436414553427,1.0,0.41908558519420386,0.47347235253509484,0.44120293977634745,0.4407902687679546,0.10751272064641514,0.0,0.19687703708385823,27.0,27.0,0.0,35880.0,35880.0,0.0,3.0,3.0,0.0
12,0.7537228806370682,1.0,0.4185992568843028,0.48144640388358145,0.4212375467425964,0.3941094033175389,0.08353208205993097,0.018940043757532325,0.1330984112437359,24.0,24.0,0.0,37440.0,37440.0,0.0,3.0,3.0,0.0
13,0.7534045896831382,1.0,0.42062028770697363,0.3949090804948556,0.24005474545001837,0.41045025954337405,0.06336722856552765,0.0,0.12165980485388328,23.0,23.0,0.0,40560.0,40560.0,0.0,2.0,2.0,0.0
14,0.7082945519056231,1.0,0.4456388406002615,0.42444256729625557,0.1811261779305563,0.4428900538624667,0.05555374087386622,0.0,0.1289558302414418,28.0,28.0,0.0,34320.0,34320.0,0.0,2.0,2.0,0.0
15,0.6856348546943198,1.0,0.4574507820372921,0.5828431399665991,0.75611967550653,0.4146715508514132,0.14249218477330208,0.0,0.20646766637715663,22.0,22.0,0.0,40560.0,40560.0,0.0,3.0,3.0,0.0
